Sample,Review_ID,Title,Group,OverallRank,GroupRank,ToRead
Second,1254,Occupancy and Abundance of Wintering Birds in a Dynamic Agricultural Landscape,MacKenzie Cited_2011:2015,337,98,NO
Second,1092,Demographic network and multi-season occupancy modeling of Rana sylvatica reveal spatial and temporal patterns of population connectivity and persistence,MacKenzie Cited_2011:2015,338,99,NO
Second,1080,Sampling Little Fish in Big Rivers: Larval Fish Detection Probabilities in Two Lake Erie Tributaries and Implications for Sampling Effort and Abundance Indices,MacKenzie Cited_2011:2015,343,100,NO
Second,981,"The new toad in town: Distribution of the Asian toad, Duttaphrynus melanostictus, in the Toamasina area of eastern Madagascar",MacKenzie Cited_2011:2015,344,101,NO
Second,1194,Host selection and responses to forest fragmentation in acorn weevils: inferences from dynamic occupancy models,MacKenzie Cited_2011:2015,347,102,NO
Second,1271,"Global warming, elevational ranges and the vulnerability of tropical biota",MacKenzie Cited_2011:2015,348,103,NO
Second,1028,"A demographic, spatially explicit patch occupancy model of metapopulation dynamics and persistence",MacKenzie Cited_2011:2015,351,104,NO
Second,1100,Large-scale occupancy surveys in East Antarctica discover new Adelie penguin breeding sites and reveal an expanding breeding distribution,MacKenzie Cited_2011:2015,353,105,NO
Second,1263,Addressing challenges when studying mobile or episodic species: hierarchical Bayes estimation of occupancy and use,MacKenzie Cited_2011:2015,356,106,NO
Second,954,"iDNA from terrestrial haematophagous leeches as a wildlife surveying and monitoring tool - prospects, pitfalls and avenues to be developed",MacKenzie Cited_2011:2015,359,107,NO
Second,1010,"To predict the niche, model colonization and extinction",MacKenzie Cited_2011:2015,361,108,NO
Second,1132,Cryptic loss of montane avian richness and high community turnover over 100 years,MacKenzie Cited_2011:2015,373,109,NO
Second,1234,The importance of incorporating imperfect detection in biodiversity assessments: a case study of small mammals in an Australian region,MacKenzie Cited_2011:2015,377,110,NO
Second,952,Factors influencing the occurrence and vulnerability of the Travancore tortoise Indotestudo travancorica in protected areas in south India,MacKenzie Cited_2011:2015,382,111,NO
Second,1044,Recommended survey designs for occupancy modelling using motion-activated cameras: insights from empirical wildlife data,MacKenzie Cited_2011:2015,383,112,NO
Second,1112,Initial Effects of Woody Biomass Removal and Intercropping of Switchgrass (Panicum virgatum) on Herpetofauna in Eastern North Carolina,MacKenzie Cited_2011:2015,386,113,NO
Second,1085,A hierarchical nest survival model integrating incomplete temporally varying covariates,MacKenzie Cited_2011:2015,390,114,NO
Second,1025,Barred Owls and Landscape Attributes Influence Territory Occupancy of Northern Spotted Owls,MacKenzie Cited_2011:2015,395,115,NO
Second,1053,Inference for finite-sample trajectories in dynamic multi-state site-occupancy models using hidden Markov model smoothing,MacKenzie Cited_2011:2015,398,116,NO
Second,1159,"Effect of habitat amount, configuration and quality in fragmented landscapes",MacKenzie Cited_2011:2015,400,117,NO
Second,1207,Monitoring the Lynx in the Alps,MacKenzie Cited_2011:2015,403,118,NO
Second,1213,Bayesian Population Analysis using WinBUGS: A Hierarchical Perspective,MacKenzie Cited_2011:2015,404,119,NO
Second,939,Defining habitat covariates in camera-trap based occupancy studies,MacKenzie Cited_2011:2015,408,120,NO
Second,1043,Decline of the Cheat Mountain Salamander over a 32-Year Period and the Potential Influence of Competition from a Sympatric Species,MacKenzie Cited_2011:2015,411,121,NO
Second,1048,"Latitudinal gradients in North American avian species richness, turnover rates and extinction probabilities",MacKenzie Cited_2011:2015,412,122,NO
Second,1055,Multiseason occupancy models for correlated replicate surveys,MacKenzie Cited_2011:2015,416,123,NO
Second,1158,Songbird response to green-tree retention prescriptions in clearcut forests,MacKenzie Cited_2011:2015,417,124,NO
Second,1020,Local and regional factors influencing assemblages of dragonflies and damselflies (Odonata) in California and Nevada,MacKenzie Cited_2011:2015,423,125,NO
Second,1054,An island-wide monitoring program demonstrates decline in reporting rate for the Christmas Island flying-fox Pteropus melanotus natalis,MacKenzie Cited_2011:2015,432,126,NO
Second,1040,"Population and individual-scale responses to patch size, isolation and quality in the hazel dormouse",MacKenzie Cited_2011:2015,435,127,NO
Second,1228,A long-term monitoring program of the Ocellated Lizard (Timon lepidus) population on Oleron Island,MacKenzie Cited_2011:2015,438,128,NO
Second,1218,"Methodological, temporal and spatial factors affecting modeled occupancy of resident birds in the perennially cultivated landscape of Uttar Pradesh, India",MacKenzie Cited_2011:2015,441,129,NO
Second,1120,"Royal Manas National Park, Bhutan: a hot spot for wild felids",MacKenzie Cited_2011:2015,442,130,NO
Second,1181,Monitoring in the presence of species misidentification: the case of the Eurasian lynx in the Alps,MacKenzie Cited_2011:2015,443,131,NO
Second,985,Seasonal Differences in Extinction and Colonization Drive Occupancy Dynamics of an Imperilled Amphibian,MacKenzie Cited_2011:2015,444,132,NO
Second,1173,Neighborhood and habitat effects on vital rates: expansion of the Barred Owl in the Oregon Coast Ranges,MacKenzie Cited_2011:2015,450,133,NO
Second,945,Estimating occupancy dynamics for large-scale monitoring networks: amphibian breeding occupancy across protected areas in the northeast United States,MacKenzie Cited_2011:2015,455,134,NO
Second,1199,A review of designs for capture-mark-recapture studies in discrete time,MacKenzie Cited_2011:2015,458,135,NO
Second,1211,Monitoring Amphibian Populations,MacKenzie Cited_2011:2015,459,136,NO
Second,1209,Short-term response of Dicamptodon tenebrosus larvae to timber management in southwestern Oregon,MacKenzie Cited_2011:2015,461,137,NO
Second,1145,Multi-scale Roost Site Selection by Rafinesque's Big-eared Bat (Corynorhinus rafinesquii) and Southeastern Myotis (Myotis austroriparius) in Mississippi,MacKenzie Cited_2011:2015,462,138,NO
Second,1240,"Effects of seasonality, isolation and patch quality for habitat selection processes by mute swans Cygnus olor in a fishpond landscape",MacKenzie Cited_2011:2015,466,139,NO
Second,1265,How frequent is metapopulation structure among butterflies in grasslands? Occurrence patterns in a forest-dominated landscape in southern Sweden,MacKenzie Cited_2011:2015,467,140,NO
Second,1033,NORTHEAST REGIONAL AND STATE TRENDS IN ANURAN OCCUPANCY FROM CALLING SURVEY DATA (2001-2011) FROM THE NORTH AMERICAN AMPHIBIAN MONITORING PROGRAM,MacKenzie Cited_2011:2015,470,141,NO
Second,1190,General methods for sensitivity analysis of equilibrium dynamics in patch occupancy models,MacKenzie Cited_2011:2015,477,142,NO
Second,977,Estimating wind-turbine-caused bird and bat fatality when zero carcasses are observed,MacKenzie Cited_2011:2015,481,143,NO
Second,1023,Tiger poaching and trafficking in India: Estimating rates of occurrence and detection over four decades,MacKenzie Cited_2011:2015,485,144,NO
Second,1189,"Habitat selection and fidelity by White-throated Sparrows (Zonotrichia albicollis): generalist species, specialist individuals?",MacKenzie Cited_2011:2015,490,145,NO
Second,1269,Non-Native Species Impacts on Pond Occupancy by an Anuran,MacKenzie Cited_2011:2015,497,146,NO
Second,965,Key seabird areas in southern New England identified using a community occupancy model,MacKenzie Cited_2011:2015,503,147,NO
Second,1070,Influence of Landscape Composition on Northern Bobwhite Population Response to Field Border Establishment,MacKenzie Cited_2011:2015,508,148,NO
Second,1238,Reconciling multiple data sources to improve accuracy of large-scale prediction of forest disease incidence,MacKenzie Cited_2011:2015,509,149,NO
Second,1205,Tigers Need Cover: Multi-Scale Occupancy Study of the Big Cat in Sumatran Forest and Plantation Landscapes,MacKenzie Cited_2011:2015,510,150,NO
Second,941,Unravelling complexity in seagrass systems for management: Australia as a microcosm,MacKenzie Cited_2011:2015,517,151,NO
Second,1035,Spatial and temporal patterns of range expansion of white-winged doves in the USA from 1979 to 2007,MacKenzie Cited_2011:2015,518,152,NO
Second,1198,Integrating biodiversity distribution knowledge: toward a global map of life,MacKenzie Cited_2011:2015,522,153,NO
Second,1002,"Fowler's Toad (Anaxyrus fowleri) occupancy in the southern mid-Atlantic, USA",MacKenzie Cited_2011:2015,523,154,NO
Second,1277,Detectability of the Eurasian otter by standard surveys: an approach using marking intensity to estimate false negative rates,MacKenzie Cited_2011:2015,525,155,NO
Second,1042,Optimizing occupancy surveys by maximizing detection probability: application to amphibian monitoring in the Mediterranean region,MacKenzie Cited_2011:2015,529,156,NO
Second,1149,Persistence of a Swamp Rabbit Metapopulation: The Incidence Function Model Approach,MacKenzie Cited_2011:2015,532,157,NO
Second,975,Connectivity and conditional models of access and abundance of species in stream networks,MacKenzie Cited_2011:2015,533,158,NO
Second,1161,AMPHIBIAN OCCUPANCY IN FLOOD-CREATED AND EXISTING WETLANDS OF THE LOWER MISSOURI RIVER ALLUVIAL VALLEY,MacKenzie Cited_2011:2015,534,159,NO
Second,1133,Relaxing the closure assumption in occupancy models: staggered arrival and departure times,MacKenzie Cited_2011:2015,537,160,NO
Second,1264,Understanding Declines in Rusty Blackbirds,MacKenzie Cited_2011:2015,538,161,NO
Second,1210,Automated Data Verification in a Large-scale Citizen Science Project: a Case Study,MacKenzie Cited_2011:2015,539,162,NO
Second,964,Spatially continuous modeling approach for population persistence in road-fragmented landscapes,MacKenzie Cited_2011:2015,540,163,NO
Second,1276,Hierarchical modeling of an invasive spread: the Eurasian Collared-Dove Streptopelia decaocto in the United States,MacKenzie Cited_2011:2015,542,164,NO
Second,1021,Advances and applications of occupancymodels,MacKenzie Cited_2011:2015,546,165,NO
Second,1185,Assessing the status and trend of bat populations across broad geographic regions with dynamic distribution models,MacKenzie Cited_2011:2015,552,166,NO
Second,1125,"Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY",MacKenzie Cited_2011:2015,555,167,NO
Second,1066,"Habitat occupancy of Rusty Blackbirds (Euphagus carolinus) breeding in northern New England, USA",MacKenzie Cited_2011:2015,558,168,NO
Second,982,MULTIYEAR MONITORING (2007-2013) OF FLAT-TAILED HORNED LIZARDS (PHRYNOSOMA MCALLII),MacKenzie Cited_2011:2015,559,169,NO
Second,942,Temporal genetic analysis of the endangered tidewater goby: extinction-colonization dynamics or drift in isolation?,MacKenzie Cited_2011:2015,560,170,NO
Second,1140,The impact of habitat fragmentation on the ecology of xenarthrans (Mammalia) in the Brazilian Cerrado,MacKenzie Cited_2011:2015,561,171,NO
Second,1163,The push and pull of climate change causes heterogeneous shifts in avian elevational ranges,MacKenzie Cited_2011:2015,573,172,NO
Second,967,Influence of exotic forest plantations on occupancy and co-occurrence patterns in a Mediterranean carnivore guild,MacKenzie Cited_2011:2015,574,173,NO
Second,979,Solar Radiation Determines Site Occupancy of Coexisting Tropical and Temperate Deer Species Introduced to New Zealand Forests,MacKenzie Cited_2011:2015,577,174,NO
Second,948,Short-term anuran community dynamics in the Missouri River floodplain following an historic flood,MacKenzie Cited_2011:2015,579,175,NO
Second,1206,"Non-invasive Integrated Sampling Design to Monitor the Wolf Population in Piemonte, Italian Alps",MacKenzie Cited_2011:2015,581,176,NO
Second,999,"Effect of the invasive common reed on the abundance, richness and diversity of birds in freshwater marshes",MacKenzie Cited_2011:2015,582,177,NO
Second,1004,"Mapping the likelihood of koalas across New South Wales for use in Private Native Forestry: developing a simple, species distribution model that deals with opportunistic data",MacKenzie Cited_2011:2015,593,178,NO
Second,1038,Indicators of the Statuses of Amphibian Populations and Their Potential for Exposure to Atrazine in Four Midwestern US Conservation Areas,MacKenzie Cited_2011:2015,594,179,NO
Second,1216,Effects of rangeland management on the site occupancy dynamics of prairie-chickens in a protected prairie preserve,MacKenzie Cited_2011:2015,600,180,NO
Second,1017,Effects of forest management on California Spotted Owls: implications for reducing wildfire risk in fire-prone forests,MacKenzie Cited_2011:2015,601,181,NO
Second,956,Avoiding verisimilitude when modelling ecological responses to climate change: the influence of weather conditions on trapping efficiency in European badgers (Meles meles),MacKenzie Cited_2011:2015,607,182,NO
Second,1115,"A Bayesian model of metapopulation viability, with application to an endangered amphibian",MacKenzie Cited_2011:2015,612,183,NO
Second,1041,Habitat fragmentation reduces occupancy of nest boxes by an open-country raptor,MacKenzie Cited_2011:2015,614,184,NO
Second,976,"Pulse disturbance impacts from a rare freeze event in Tampa, Florida on the exotic invasive Cuban treefrog, Osteopilus septentrionalis, and native treefrogs",MacKenzie Cited_2011:2015,615,185,NO
Second,1193,Designing occupancy surveys and interpreting non-detection when observations are imperfect,MacKenzie Cited_2011:2015,616,186,NO
Second,1098,Mediterranean amphibians and the loss of temporary ponds: Are there alternative breeding habitats?,MacKenzie Cited_2011:2015,618,187,NO
Second,1225,Predicting breeding habitat for amphibians: a spatiotemporal analysis across Yellowstone National Park,MacKenzie Cited_2011:2015,627,188,NO
Second,1062,Coping With Heterogeneity to Detect Species on a Large Scale: N-Mixture Modeling Applied to Red-Legged Partridge Abundance,MacKenzie Cited_2011:2015,632,189,NO
Second,992,Community occupancy before-after-control-impact (CO-BACI) analysis of Hurricane Gudrun on Swedish forest birds,MacKenzie Cited_2011:2015,637,190,NO
Second,1274,Species Richness and Community Dynamics: A Conceptual Framework,MacKenzie Cited_2011:2015,639,191,NO
Second,972,Drifting baited stereo-videography: a novel sampling tool for surveying pelagic wildlife in offshore marine reserves,MacKenzie Cited_2011:2015,642,192,NO
Second,1051,On a Dhole Trail: Examining Ecological and Anthropogenic Correlates of Dhole Habitat Occupancy in the Western Ghats of India,MacKenzie Cited_2011:2015,648,193,NO
Second,951,Spatial asymmetries in connectivity influence colonization-extinction dynamics,MacKenzie Cited_2011:2015,653,194,NO
Second,1114,Site occupancy and spatial co-occurrence of boreal small mammals are favoured by late-decay woody debris,MacKenzie Cited_2011:2015,656,195,NO
Second,1219,Reptile Biodiversity STANDARD METHODS FOR INVENTORY AND MONITORING FOREWORD,MacKenzie Cited_2011:2015,659,196,NO
Second,1078,"Determinants of extinction-colonization dynamics in Mediterranean butterflies: the role of landscape, climate and local habitat features",MacKenzie Cited_2011:2015,660,197,NO
Second,934,Estimating regional landbird populations from enhanced North American Breeding Bird Surveys,MacKenzie Cited_2011:2015,661,198,NO
Second,946,Marsupial response to matrix conversion: Results of a large-scale long-term 'natural experiment' in Australia,MacKenzie Cited_2011:2015,662,199,NO
Second,1162,"Multi-scale processes in metapopulations: contributions of stage structure, rescue effect, and correlated extinctions",MacKenzie Cited_2011:2015,663,200,NO
Second,1096,Influence of fire and salvage logging on site occupancy of spotted owls in the San Bernardino and San Jacinto Mountains of Southern California,MacKenzie Cited_2011:2015,672,201,NO
Second,1266,Dynamics of an endangered New Zealand skink: accounting for incomplete detectability in estimating patch occupancy,MacKenzie Cited_2011:2015,673,202,NO
Second,1034,Lek fidelity and movement among leks by male Greater Sage-grouse Centrocercus urophasianus: a capture-mark-recapture approach,MacKenzie Cited_2011:2015,677,203,NO
Second,1047,Habitat use by mammals varies along an exurban development gradient in northern Colorado,MacKenzie Cited_2011:2015,679,204,NO
Second,966,Beyond species richness: an empirical test of top predators as surrogates for functional diversity and endemism,MacKenzie Cited_2011:2015,686,205,NO
Second,1179,"Estimating detection probability for Canada lynx Lynx canadensis using snow-track surveys in the northern Rocky Mountains, Montana, USA",MacKenzie Cited_2011:2015,688,206,NO
Second,1061,Urbanization Level and Woodland Size Are Major Drivers of Woodpecker Species Richness and Abundance,MacKenzie Cited_2011:2015,690,207,NO
Second,980,Rapid Assessment of Distribution of Wildlife and Human Activities for Prioritizing Conservation Actions in a Patagonian Landscape,MacKenzie Cited_2011:2015,692,208,NO
Second,1192,Dynamics of a northern fulmar (Fulmarus glacialis) population at the southern limit of its range in Europe,MacKenzie Cited_2011:2015,696,209,NO
Second,1171,A critique of the dragonfly delusion hypothesis: why sampling exuviae does not avoid bias,MacKenzie Cited_2011:2015,701,210,NO
Second,1227,"Role of Predalors, Habitat Attributes, and Spatial Autocorrelation on the Distribution of Eggs in the Northern Spectacled Salamander (Salamandrina perspicillata)",MacKenzie Cited_2011:2015,705,211,NO
Second,1049,Patterns of co-existence between humans and mammals in Yemen: some species thrive while others are nearly extinct,MacKenzie Cited_2011:2015,708,212,NO
Second,1019,DETECTING FROGS AND DETECTING DECLINES: AN EXAMINATION OF OCCUPANCY AND TURNOVER PATTERNS AT THE RANGE EDGE OF BLANCHARD'S CRICKET FROG (ACRIS BLANCHARDI),MacKenzie Cited_2011:2015,714,213,NO
Second,1069,Statistical Ecology,MacKenzie Cited_2011:2015,717,214,NO
Second,1029,Precipitation and winter temperature predict long-term range-scale abundance changes in Western North American birds,MacKenzie Cited_2011:2015,718,215,NO
Second,1018,Grassland Fire and Cattle Grazing Regulate Reptile and Amphibian Assembly Among Patches,MacKenzie Cited_2011:2015,726,216,NO
Second,1128,"Using LiDAR-derived vegetation metrics for high-resolution, species distribution models for conservation planning",MacKenzie Cited_2011:2015,727,217,NO
Second,1157,DISTRIBUTION AND HABITAT USE OF THE MISSOURI RIVER AND LOWER YELLOWSTONE RIVER BENTHIC FISHES FROM 1996 TO 1998: A BASELINE FOR FISH COMMUNITY RECOVERY,MacKenzie Cited_2011:2015,730,218,NO
Second,1014,Occupancy Modeling of Woodpeckers: Maximizing Detections for Multiple Species With Multiple Spatial Scales,MacKenzie Cited_2011:2015,733,219,NO
Second,983,KEY FACTORS CONTROLLING THE METAPOPULATION DYNAMICS OF THE LITTLE GREBE TACHYBAPTUS RUFICOLLIS IN AN ARTIFICIAL HABITAT NETWORK OF IRRIGATION PONDS,MacKenzie Cited_2011:2015,734,220,NO
Second,1200,Investigating the population dynamics of California spotted owls without marked individuals,MacKenzie Cited_2011:2015,739,221,NO
Second,997,Factors explaining the occurrence of the Siberian flying squirrel in urban forest landscape,MacKenzie Cited_2011:2015,741,222,NO
Second,1153,"The good, the bad, and the ugly: space use and intraguild interactions among three opportunistic predators-cat (Felis catus), dog (Canis lupus familiaris), and red fox (Vulpes vulpes)-under human pressure",MacKenzie Cited_2011:2015,742,223,NO
Second,988,Fish community reassembly after a coral mass mortality: higher trophic groups are subject to increased rates of extinction,MacKenzie Cited_2011:2015,745,224,NO
Second,1257,Effects of commercial thinning on site occupancy and habitat use by spruce grouse in boreal Quebec,MacKenzie Cited_2011:2015,748,225,NO
Second,1107,Site occupancy models in the analysis of environmental DNA presence/absence surveys: a case study of an emerging amphibian pathogen,MacKenzie Cited_2011:2015,752,226,NO
Second,1139,Population connectivity: recent advances and new perspectives,MacKenzie Cited_2011:2015,753,227,NO
Second,1251,Detection biases yield misleading patterns of species persistence and colonization in fragmented landscapes,MacKenzie Cited_2011:2015,754,228,NO
Second,1016,Long-term and large-scale control of the introduced red fox increases native mammal occupancy in Australian forests,MacKenzie Cited_2011:2015,755,229,NO
Second,1026,Occurrence patterns and niche relationships of sympatric owls in South American temperate forests: A multi-scale approach,MacKenzie Cited_2011:2015,757,230,NO
Second,1103,Multivariate models for correlated count data,MacKenzie Cited_2011:2015,759,231,NO
Second,1148,Evidence-based assessment of butterfly habitat restoration to enhance management practices,MacKenzie Cited_2011:2015,760,232,NO
Second,1012,Introduction to Ecological Sampling Preface,MacKenzie Cited_2011:2015,762,233,NO
Second,1031,A resampling-based method for effort correction in abundance trend analyses from opportunistic biological records,MacKenzie Cited_2011:2015,766,234,NO
Second,1076,Camera trap surveys to evaluate pest animal control operations,MacKenzie Cited_2011:2015,769,235,NO
Second,1056,Testing metapopulation concepts: effects of patch characteristics and neighborhood occupancy on the dynamics of an endangered lagomorph,MacKenzie Cited_2011:2015,770,236,NO
Second,996,Modeling spatiotemporal dynamics of outbreaking species: influence of environment and migration in a locust,MacKenzie Cited_2011:2015,774,237,NO
Second,1165,Anthropogenic refugia ameliorate the severe climate-related decline of a montane mammal along its trailing edge,MacKenzie Cited_2011:2015,780,238,NO
Second,1071,Use of camera traps for wildlife studies. A review,MacKenzie Cited_2011:2015,783,239,NO
Second,1073,The Wildlife Picture Index: monitoring Mongolian biodiversity with camera trapping,MacKenzie Cited_2011:2015,785,240,NO
Second,1108,Modelling the environmental and soil factors that shape the niches of two common arbuscular mycorrhizal fungal families,MacKenzie Cited_2011:2015,789,241,NO
Second,1150,Small sample bias in dynamic occupancy models,MacKenzie Cited_2011:2015,794,242,NO
Second,1156,EFFECTIVENESS OF CALL-BROADCAST SURVEYS TO DETECT TERRITORIAL PEREGRINE FALCONS,MacKenzie Cited_2011:2015,798,243,NO
Second,1252,Data-driven fuzzy habitat suitability models for brown trout in Spanish Mediterranean rivers,MacKenzie Cited_2011:2015,799,244,NO
Second,1168,"ADVANTAGES OF LONG-TERM, MULTI-SCALE MONITORING: ASSESSING THE CURRENT STATUS OF THE YOSEMITE TOAD (ANAXYRUS [BUFO] CANORUS) IN THE SIERRA NEVADA, CALIFORNIA, USA",MacKenzie Cited_2011:2015,802,245,NO
Second,1079,Occupancy dynamics in small-stream habitats: niches define the responses to floods by two neotropical fishes,MacKenzie Cited_2011:2015,811,246,NO
Second,1221,Prevalence of Influenza A Antibodies in Yellow-Legged Gull (Larus michahellis) Eggs and Adults in Southern Tunisia,MacKenzie Cited_2011:2015,814,247,NO
Second,962,Relative performance of ecological niche and occupancy models for predicting invasions by patchily-distributed species,MacKenzie Cited_2011:2015,815,248,NO
Second,1233,Habitat quality of source patches and connectivity in fragmented landscapes,MacKenzie Cited_2011:2015,817,249,NO
Second,1084,"RINGTAIL (BASSARISCUS ASTUTUS) NONINVASIVE SURVEY METHODS, DENSITY, AND OCCUPANCY IN CENTRAL NEW MEXICO, USA",MacKenzie Cited_2011:2015,823,250,NO
Second,1229,Species Occupancy Modeling for Detection Data Collected Along a Transect,MacKenzie Cited_2011:2015,835,251,NO
Second,1175,A two-phase sampling design for increasing detections of rare species in occupancy surveys,MacKenzie Cited_2011:2015,837,252,NO
Second,955,Spatial occupancy models for predicting metapopulation dynamics and viability following reintroduction,MacKenzie Cited_2011:2015,839,253,NO
Second,1142,"Landscape-level assessment of the distribution of the Sumatran rhinoceros in Bukit Barisan Selatan National Park, Sumatra",MacKenzie Cited_2011:2015,842,254,NO
Second,1097,Bioregional monitoring design and occupancy estimation for two Sierra Nevadan amphibian taxa,MacKenzie Cited_2011:2015,843,255,NO
Second,1117,"Relationship between wildfire, salvage logging, and occupancy of nesting territories by northern spotted owls",MacKenzie Cited_2011:2015,848,256,NO
Second,1182,Spatial turnover and knowledge gap of African small mammals: using country checklists as a conservation tool,MacKenzie Cited_2011:2015,850,257,NO
Second,1222,Adaptive Management of Bull Trout Populations in the Lemhi Basin,MacKenzie Cited_2011:2015,855,258,NO
Second,1154,Gauging the impact of management expertise on the distribution of large mammals across protected areas,MacKenzie Cited_2011:2015,862,259,NO
Second,1099,Stand Structure and Breeding Birds: Implications for Restoring Ponderosa Pine Forests,MacKenzie Cited_2011:2015,875,260,NO
Second,1090,Matrix Matters: Differences of Grand Skink Metapopulation Parameters in Native Tussock Grasslands and Exotic Pasture Grasslands,MacKenzie Cited_2011:2015,877,261,NO
Second,998,"Identifying Common Patterns in Diverse Systems: Effects of Exurban Development on Birds of the Adirondack Park and the Greater Yellowstone Ecosystem, USA",MacKenzie Cited_2011:2015,883,262,NO
Second,1188,HABITAT ASSOCIATIONS OF THE COASTAL GIANT SALAMANDER (DICAMPTODON TENEBROSUS) AT ITS NORTHERN RANGE LIMIT,MacKenzie Cited_2011:2015,886,263,NO
Second,1052,Evaluating the effects of landscape configuration on site occupancy and movement dynamics of odonates in Iowa,MacKenzie Cited_2011:2015,887,264,NO
Second,1166,Land use drivers of species re-expansion: inferring colonization dynamics in Eurasian otters,MacKenzie Cited_2011:2015,888,265,NO
Second,1008,Distribution and habitat use by pine marten Martes martes in a riparian corridor crossing intensively cultivated lowlands,MacKenzie Cited_2011:2015,893,266,NO
Second,947,Summer vs. winter: Examining the temporal distribution of avian biodiversity to inform conservation,MacKenzie Cited_2011:2015,895,267,NO
Second,970,Do silvicultural practices to restore oaks affect salamanders in the short term?,MacKenzie Cited_2011:2015,896,268,NO
Second,971,An occupancy-based quantification of the highly imperiled status of desert fishes of the southwestern United States,MacKenzie Cited_2011:2015,898,269,NO
Second,969,Assessing spatio-temporal priorities for species' recovery in broad-scale dynamic landscapes,MacKenzie Cited_2011:2015,901,270,NO
Second,1006,Invasion of American bullfrogs along the Yellowstone River,MacKenzie Cited_2011:2015,904,271,NO
Second,1196,Estimating Occupancy in Large Landscapes: Evaluation of Amphibian Monitoring in the Greater Yellowstone Ecosystem,MacKenzie Cited_2011:2015,915,272,NO
Second,937,Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,MacKenzie Cited_2011:2015,916,273,NO
Second,1001,A guide to Bayesian model selection for ecologists,MacKenzie Cited_2011:2015,922,274,NO
Second,1235,Spatial Patch Occupancy Patterns of the Lower Keys Marsh Rabbit,MacKenzie Cited_2011:2015,923,275,NO
Second,1059,Developing monitoring protocols for cost-effective surveillance of lichens,MacKenzie Cited_2011:2015,927,276,NO
Second,1095,Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation,MacKenzie Cited_2011:2015,930,277,NO
Second,938,A Probabilistic Approach for Fusing People Detectors,MacKenzie Cited_2011:2015,931,278,NO
Second,1176,The relative contribution of local habitat and landscape context to metapopulation processes: a dynamic occupancy modeling approach,MacKenzie Cited_2011:2015,934,279,NO
Second,1275,Estimation of Species Richness of Large Vertebrates Using Camera Traps: An Example from an Indonesian Rainforest,MacKenzie Cited_2011:2015,952,280,NO
Second,1223,Testing climate-based species distribution models with recent field surveys of pond-breeding amphibians in eastern Missouri,MacKenzie Cited_2011:2015,953,281,NO
Second,1147,Bird assemblage response to restoration of fire-suppressed longleaf pine sandhills,MacKenzie Cited_2011:2015,954,282,NO
Second,936,Estimating Detectability and Biological Parameters of Interest with the Use of the R Environment,MacKenzie Cited_2011:2015,955,283,NO
Second,1065,Integrated modelling of functional and structural connectivity of river corridors for European otter recovery,MacKenzie Cited_2011:2015,960,284,NO
Second,1106,"Changing use of camera traps in mammalian field research: habitats, taxa and study types",MacKenzie Cited_2011:2015,962,285,NO
Second,993,Avian Occupancy Varies With Habitat Structure in Oak Savanna of the South-Central United States,MacKenzie Cited_2011:2015,965,286,NO
Second,1231,Unmarked: An R Package for Fitting Hierarchical Models of Wildlife Occurrence and Abundance,MacKenzie Cited_2011:2015,967,287,NO
Second,1131,Estimating Open Population Site Occupancy from Presence-Absence Data Lacking the Robust Design,MacKenzie Cited_2011:2015,968,288,NO
Second,1212,Importance of mangrove shorelines for rainbow parrotfish Scarus guacamaia: habitat suitability modeling in a subtropical bay,MacKenzie Cited_2011:2015,969,289,NO
Second,1088,Dynamic species distribution models from categorical survey data,MacKenzie Cited_2011:2015,971,290,NO
Second,1134,Simultaneous estimation of occupancy and detection probabilities: an illustration using Cincinnatian brachiopods,MacKenzie Cited_2011:2015,976,291,NO
Second,1126,Extinction trends of threatened invertebrates in peninsular Spain,MacKenzie Cited_2011:2015,983,292,NO
Second,1022,Egg sampling as a possible alternative to blood sampling when monitoring the exposure of yellow-legged gulls (Larus michahellis) to avian influenza viruses,MacKenzie Cited_2011:2015,990,293,NO
Second,958,Twenty-five years of change in southern African passerine diversity: nonclimatic factors of change,MacKenzie Cited_2011:2015,992,294,NO
Second,1272,Abundance/Density Case Study: Jaguars in the Americas,MacKenzie Cited_2011:2015,995,295,NO
Second,1253,"Estimating Occupancy Dynamics in an Anuran Assemblage From Louisiana, USA",MacKenzie Cited_2011:2015,998,296,NO
Second,1215,Non-Human Predator Interactions with Wild Great Apes in Africa and the Use of Camera Traps to Study Their Dynamics,MacKenzie Cited_2011:2015,1004,297,NO
Second,1113,Trends in Amphibian Occupancy in the United States,MacKenzie Cited_2011:2015,1013,298,NO
Second,1172,"Site occupancy dynamics of northern spotted owls in managed interior Douglas fir forests, California, USA, 1995-2009",MacKenzie Cited_2011:2015,1018,299,NO
Second,995,Timber harvest interacts with broad-scale forest mortality to affect site occupancy dynamics of a vertebrate seed predator,MacKenzie Cited_2011:2015,1021,300,NO
Second,953,Contrasting effects of pine plantations on two skinks: results from a large-scale natural experiment' in Australia,MacKenzie Cited_2011:2015,1022,301,NO
Second,1167,Designing studies to detect differences in species occupancy: power analysis under imperfect detection,MacKenzie Cited_2011:2015,1042,302,NO
